Date,Description,Amount,Reference
01/05/2026,Donation - John Smith,500.00,
01/05/2026,Donation - Mary Johnson,250.00,
01/07/2026,Tithe - Weekly Collection,3200.00,
01/08/2026,Grant - Community Foundation,5000.00,
01/10/2026,Verizon Wireless - Monthly Bill,-189.99,
01/10/2026,Duke Energy - Electric,-342.50,
01/12/2026,ADP Payroll,-4500.00,CHK1001
01/12/2026,ADP Payroll Tax,-850.00,CHK1002
01/14/2026,Staples - Office Supplies,-127.43,
01/15/2026,Donation - Anonymous,1000.00,
01/15/2026,Building Fund Donation - Estate of Williams,10000.00,
01/17/2026,State Farm Insurance - Monthly Premium,-425.00,
01/18/2026,Amazon Web Services,-49.99,
01/19/2026,Interest Income,12.37,
01/20/2026,Fundraising Gala Ticket Sales,2800.00,
01/21/2026,Uber - Travel to Conference,-34.50,
01/22/2026,Hilton Hotels - Staff Retreat,-289.00,
01/23/2026,Monthly Rent Payment,-2200.00,CHK1003
01/24/2026,Donation - Corporate Sponsor,5000.00,
01/25/2026,City Water & Sewer,-87.60,
01/26/2026,Youth Ministry Supplies,-156.00,
01/27/2026,Zoom - Monthly Subscription,-14.99,
01/28/2026,Bank Monthly Service Charge,-12.00,
01/28/2026,Donation - Online Giving,1750.00,
01/29/2026,Gusto Payroll,-4500.00,CHK1004
01/30/2026,Attorney Fees - Annual Review,-750.00,
01/31/2026,Mission Trip Donation,800.00,
02/01/2026,Tithe - Weekly Collection,2900.00,
02/02/2026,Adobe Creative Cloud,-54.99,
02/03/2026,Donation - Jane Wilson,350.00,
02/04/2026,Office Depot - Printer Paper,-45.67,
02/05/2026,Program Registration Fees,1200.00,
02/06/2026,Depreciation Expense,-500.00,
02/07/2026,ATM Fee,-3.00,
02/07/2026,Membership Dues Received,150.00,
02/08/2026,Salvation Army - Outreach Partner,-200.00,
02/09/2026,Donation - Super Bowl Sunday,4100.00,
02/10/2026,Google Workspace,-72.00,
02/10/2026,Microsoft 365,-22.00,
02/11/2026,Landscaping Service,-175.00,
02/12/2026,CPA Quarterly Review,-1200.00,
